Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,1.913625005,303.7154591,14.9,25.88570247,5.675120727,8201.895334,666.6904394,0.055218671,7.359339181,0.8,18012.71971
02-01-2020,1.708,285.48,16.7,11.31487637,5.246,3120.111189,143.9960382,0,7.3,2,4026
03-01-2020,1.977849633,309.4815343,18.9,31.49042397,5.810295988,10201.03412,836.3821434,0.072709709,7.378075277,0,22399.13783
04-01-2020,2.30323694,336.8285483,17.6,53.9224048,6.464829889,18073.17917,1606.704915,0.154858517,7.467643122,0.5,44150.18628
05-01-2020,1.708,285.48,15.6,12.19582281,5.246,3491.291533,134.2,0,7.3,0.5,4026
06-01-2020,1.708,285.48,13.6,13.41960806,5.246,3943.490076,156.4162678,0,7.3,0,4026
07-01-2020,2.34093245,340.7607932,14.3,58.96306045,6.553070318,19909.02269,1732.552585,0.167023602,7.480212738,0,46863.38551
08-01-2020,2.050225343,316.8308373,16.9,40.52734185,5.976458859,13483.28854,1068.398792,0.095371413,7.401633141,0,27557.72795
09-01-2020,1.708,285.48,17.9,11.79196842,5.246,3454.110328,134.2,0,7.3,3,4026
10-01-2020,1.981756558,311.7638373,15.5,38.00393154,5.849897803,12657.92669,939.2374777,0.080467873,7.384759195,4.1,23154.78532
11-01-2020,1.708,285.48,15.3,15.04906195,5.246,4654.769612,134.2,0,7.3,0,4026
12-01-2020,1.708,285.48,13.2,16.65582753,5.246,5249.593644,147.2064934,0,7.3,0,4026
13-01-2020,1.895029309,305.6118589,12.5,35.65839268,5.693911954,11934.34671,788.3870064,0.062512706,7.364149672,0.5,17645.09143
14-01-2020,1.708,285.48,13,8.662,5.246,2074,134.2,0,7.3,0,4026
15-01-2020,1.708,285.48,14.4,8.662,5.246,2074,134.2,0,7.3,0.5,4026
16-01-2020,1.708,285.48,17.3,21.66428971,5.246,7146.26919,221.0091072,0,7.3,0,4026
17-01-2020,1.708,285.48,20,12.68735428,5.246,4043.689369,134.2,0,7.3,0,4026
18-01-2020,1.966915934,313.6997762,18.8,47.15331685,5.871757924,16147.46878,1056.599128,0.087753209,7.389810961,0.8,22968.31036
19-01-2020,1.708,285.48,17.2,19.48344502,5.246,6505.03905,134.2,0,7.3,0.8,4026
20-01-2020,1.708,285.48,15.4,9.400236749,5.246,3019.261988,134.2,0,7.3,2,4026
21-01-2020,2.419435235,352.8457957,15.1,81.91049751,6.800126308,28442.50667,2181.274432,0.205860054,7.517572134,0,53499.68992
22-01-2020,1.811365948,302.6808325,14.3,42.99427414,5.592231952,14867.77626,786.757376,0.055601499,7.352889613,2.9,13090.16407
23-01-2020,1.930014082,313.0897996,16.2,52.57108251,5.838002234,18266.88769,1088.591949,0.087071322,7.386804366,0,21132.04601
24-01-2020,1.708,285.48,15.3,18.64462999,5.246,6441.124562,134.2,0,7.3,0.3,4026
25-01-2020,1.729557761,297.470165,15.2,42.67481528,5.454716901,14901.43703,672.8415081,0.040717734,7.335149359,0,8042.88555
26-01-2020,1.981596935,319.0365441,15.4,61.27695415,5.967943319,21463.17088,1287.909559,0.105679117,7.405628847,0,24988.00374
27-01-2020,1.708,285.48,16.3,33.16153587,5.246,11674.98226,266.9997401,0,7.3,16.9,4026
28-01-2020,2.103773307,330.3844738,17.7,73.15000124,6.231247487,25724.35997,1628.873403,0.140266179,7.442358799,0.5,33428.31627
29-01-2020,1.75949772,302.2979467,19.2,52.12561913,5.552494051,18420.43229,854.4561386,0.056287467,7.350025543,21.1,10629.23748
30-01-2020,1.885916328,313.4489138,18.2,62.52232321,5.815339836,22115.0598,1178.947051,0.090027281,7.386334509,22.1,19213.05594
31-01-2020,1.786073536,305.7575596,16.8,57.87582385,5.625870691,20545.72465,976.107676,0.067246089,7.360860148,0,12716.01925
01-02-2020,2.698127008,382.4035032,16.6,120.7293697,7.460398913,42602.54695,3134.963633,0.297482663,7.625970652,0,73681.9244
02-02-2020,2.029417248,327.3315963,16.3,78.23838695,6.133602421,27789.90867,1605.966992,0.13257147,7.445778538,0.4,29266.75689
03-02-2020,1.708,297.3516137,16.5,55.85023115,5.408917313,20014.3667,779.7875891,0.042941742,7.347861975,1.9,4918.442509
04-02-2020,2.36452689,356.601691,17.1,104.8749378,6.82566037,37234.41562,2452.289287,0.221007795,7.542509818,2.5,51947.59756
05-02-2020,1.708,296.2137888,17.3,58.21759417,5.371000212,20966.81775,775.1629896,0.040165418,7.344908711,6.9,4026
06-02-2020,2.170062382,341.7879103,17.3,96.35771278,6.459338493,34379.38399,2065.204709,0.177214525,7.494730678,1.2,39335.46597
07-02-2020,1.708,285.48,17.1,46.75371182,5.246,17082.54186,283.4723754,0,7.3,1.9,4026
08-02-2020,1.708,298.9394592,17.7,65.52212469,5.419830496,23717.05892,894.0581672,0.049338504,7.355060524,0,4270.62813
09-02-2020,2.212726515,347.5157192,17.2,106.1444638,6.579959505,38001.4451,2268.828742,0.195409677,7.514744661,2,42729.52406
10-02-2020,2.427112607,366.1272128,17.8,122.8207927,7.020850592,43905.70289,2804.800254,0.251591566,7.576189782,9.9,57210.71578
11-02-2020,2.235941679,350.9528376,17.7,112.4937003,6.650799024,40359.71841,2394.977448,0.206420762,7.526867556,0.5,44657.44264
