Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Temperature ,Turbidity,Total Coliform
01-01-2020,0.850408255,138.6422728,7.212652191,1.630408255,1.638611392,0.095800237,7.331671502,0.3,16.90266994,3.420051811,1.669486754
02-01-2020,0.839188445,135.3542954,7.185358649,1.619188445,1.624783752,0.093326717,7.301158312,0.3,16.75882622,3.174710516,1.647704207
03-01-2020,0.850140099,139.8392797,7.224763397,1.630140099,1.6386697,0.09427611,7.341793009,0.7,16.89923204,3.183211724,1.670262119
04-01-2020,0.862491536,144.8269448,7.268549453,1.642491536,1.654304579,0.087841555,7.386998054,0.7,17.05758379,3.280973474,1.695616936
05-01-2020,0.833781299,135.4555839,7.189330452,1.613781299,1.61861151,0.092367063,7.30067737,10.2,16.68950383,3.197137403,1.638845552
06-01-2020,0.832489471,135.6930249,7.192544592,1.612489471,1.617190538,0.095737262,7.302316711,10.2,16.67294193,3.29975437,1.636907938
07-01-2020,0.85949212,145.8456875,7.28081798,1.63949212,1.65113669,0.104264806,7.394722277,1.5,17.01912974,3.186214371,1.69155604
08-01-2020,0.845549632,141.679499,7.246429618,1.625549632,1.633900393,0.099475324,7.355970491,1.5,16.8403799,3.03629215,1.66431044
09-01-2020,0.824982338,135.2063631,7.192338293,1.604982338,1.608382001,0.107505168,7.3,0,16.57669664,3.178690588,1.623811607
10-01-2020,0.839506177,141.026644,7.243689568,1.619506177,1.626726385,0.085198446,7.348695915,0,16.7628997,2.934395509,1.653491233
11-01-2020,0.822557013,135.8426763,7.200788736,1.602557013,1.605728317,0.096889217,7.300527891,0,16.54560273,3.120332782,1.620220862
12-01-2020,0.821273394,136.1527293,7.205049081,1.601273394,1.604310926,0.091201493,7.30263984,0,16.52914608,3.088856962,1.6182774
13-01-2020,0.83107457,140.3533154,7.242725945,1.61107457,1.616748218,0.107094183,7.340348024,0,16.65480218,3.052283458,1.63849916
14-01-2020,0.796223063,134.94,7.176,1.576223063,1.573368294,0.081720474,7.3,0,16.20798799,3.055474913,1.569411009
15-01-2020,0.797941255,134.94,7.176,1.577941255,1.575699073,0.081317227,7.3,0,16.23001609,2.77280635,1.573457524
16-01-2020,0.814867849,137.05432,7.219873878,1.594867849,1.597038881,0.083796036,7.307675436,0,16.44702371,2.971695425,1.607915931
17-01-2020,0.806639112,134.985544,7.204084575,1.586639112,1.586932999,0.071253424,7.3,0,16.34152708,3.062778389,1.592058586
18-01-2020,0.826151817,142.6359556,7.271669011,1.606151817,1.611502337,0.084456613,7.356995558,0,16.59168996,3.064309285,1.631678854
19-01-2020,0.805905553,136.3801684,7.220123277,1.585905553,1.586371332,0.081388189,7.3,0,16.33212248,2.870213144,1.591775742
20-01-2020,0.796871201,134.94,7.202357287,1.576871201,1.57525353,0.087797259,7.3,0,16.21629745,3.219223962,1.574290832
21-01-2020,0.840611254,150.2153067,7.343055759,1.620611254,1.630101998,0.091245686,7.42348959,0,16.77706736,2.877980225,1.662348942
22-01-2020,0.813080946,141.4369366,7.27008158,1.593080946,1.595860724,0.101608791,7.342071862,0,16.42411469,3.155758245,1.607860364
23-01-2020,0.816524686,143.5079229,7.290165131,1.596524686,1.60033517,0.09433379,7.359978513,0,16.4682652,3.062676664,1.615313748
24-01-2020,0.792125966,135.8422315,7.226853997,1.572125966,1.570004651,0.080976858,7.3,0,16.1554611,2.886828821,1.567075913
25-01-2020,0.804753393,141.1436156,7.27475107,1.584753393,1.585954876,0.078879188,7.336125653,0,16.31735119,3.256291723,1.592883904
26-01-2020,0.813883143,145.2284757,7.312281912,1.593883143,1.597531016,0.089961677,7.372390181,0,16.43439927,2.784938281,1.61168991
27-01-2020,0.793117823,138.8574608,7.260251339,1.573117823,1.571736281,0.074572737,7.312877541,0,16.16817722,3.106437974,1.570698985
28-01-2020,0.81586869,147.7242449,7.338890077,1.59586869,1.600334692,0.100080373,7.392878131,0,16.459855,3.111149351,1.61673348
29-01-2020,0.799586537,142.9363374,7.300547427,1.579586537,1.580139696,0.09397026,7.347809064,0,16.25110945,2.842557001,1.584694823
30-01-2020,0.80336931,145.17775,7.322514119,1.58336931,1.585023678,0.081092842,7.367084726,0,16.29960654,3.15662258,1.592778754
31-01-2020,0.797511181,144.0511709,7.31566952,1.577511181,1.577854305,0.07089267,7.355492009,0,16.22450232,2.892726275,1.58157346
01-02-2020,0.834786558,158.0273691,7.438333675,1.614786558,1.624599545,0.096477736,7.48217753,0,16.70239177,2.969218846,1.656627607
02-02-2020,0.804689118,148.4288557,7.358984399,1.584689118,1.587126445,0.08332098,7.392952214,0,16.31652715,2.957357763,1.596928398
03-02-2020,0.787423774,143.3270739,7.318233197,1.567423774,1.565691108,0.092810969,7.344880951,0,16.09517659,2.888478319,1.562885516
04-02-2020,0.815796179,154.2037226,7.41449375,1.595796179,1.601300552,0.071946169,7.443107908,0,16.45892537,3.028719679,1.620110119
05-02-2020,0.78297604,143.667919,7.327271876,1.56297604,1.560416869,0.077877917,7.345226139,0,16.03815436,3.018943246,1.554941479
06-02-2020,0.804352782,152.1056806,7.402732525,1.584352782,1.587276802,0.083477442,7.421071382,0,16.31221516,2.615437843,1.598158311
07-02-2020,0.769613829,140.9073213,7.309934603,1.549613829,1.543989584,0.081884077,7.317075509,0,15.86684396,3.084862201,1.529135317
08-02-2020,0.778572285,145.0071439,7.348314046,1.558572285,1.555321558,0.078276501,7.353150143,0,15.98169596,2.615341156,1.547498577
09-02-2020,0.801487723,153.995713,7.428646161,1.581487723,1.584097151,0.087615953,7.433971222,0,16.27548363,3.029202369,1.593767103
10-02-2020,0.809079123,157.6243846,7.463084455,1.589079123,1.593715048,0.074638326,7.465687135,0.1,16.37280927,3.037458837,1.609378724
11-02-2020,0.799392656,155.2090307,7.445763984,1.579392656,1.581732924,0.081202935,7.442033423,0.1,16.2486238,2.685204072,1.590425657
12-02-2020,0.794093623,154.3322177,7.441677174,1.574093623,1.575232369,0.082822534,7.432447962,0.7,16.18068748,2.785145996,1.580238378
13-02-2020,0.790397346,154.0190186,7.442466491,1.570397346,1.570732499,0.085551403,7.42800331,0.7,16.13329931,2.670719303,1.573247411
14-02-2020,0.771245089,148.298585,7.396952205,1.551245089,1.546909857,0.085974857,7.374021835,0,15.88775755,2.803797559,1.535335162
15-02-2020,0.782314803,153.1579089,7.442164634,1.562314803,1.560861848,0.072052406,7.416905036,0,16.02967696,2.783529445,1.55785742
16-02-2020,0.785611848,155.2985743,7.464116299,1.565611848,1.565095138,0.068874065,7.434873026,0,16.07194677,2.947610638,1.564824789
17-02-2020,0.80856168,164.3191987,7.545079996,1.58856168,1.593891514,0.091808078,7.515825716,0,16.36617539,3.024937466,1.611088073
18-02-2020,0.796723316,161.1651446,7.521729184,1.576723316,1.579199715,0.083700789,7.48527058,0,16.21440149,3.032948205,1.587765197
19-02-2020,0.763171488,150.4122753,7.433284453,1.543171488,1.537363122,0.073455362,7.385111623,0,15.78424984,2.722363643,1.521005519
20-02-2020,0.795062617,162.5650451,7.541211453,1.575062617,1.577327235,0.092853498,7.494694165,0,16.19311048,2.772413191,1.585121781
21-02-2020,0.783351765,159.4574314,7.518371734,1.563351765,1.562785849,0.08094166,7.464513011,0,16.04297134,2.537576503,1.562024005
22-02-2020,0.778171546,158.635556,7.515159498,1.558171546,1.556404703,0.088853401,7.455247441,0,15.97655828,2.669770736,1.551977327
23-02-2020,0.797666686,166.4497789,7.586005269,1.577666686,1.580864676,0.081034886,7.525051452,0,16.22649597,2.94145087,1.591271103
24-02-2020,0.80362184,169.5244361,7.616259351,1.58362184,1.588396563,0.096762576,7.551437798,0,16.3028441,3.038567776,1.603474557
25-02-2020,0.801500808,169.771564,7.622309473,1.581500808,1.585830085,0.094161267,7.551916493,0,16.27565139,2.589737867,1.599515198
26-02-2020,0.773336684,160.9024516,7.550251232,1.553336684,1.550706583,0.077010609,7.468899139,0,15.91457287,2.685789155,1.543459129
27-02-2020,0.78108161,164.600057,7.58593738,1.56108161,1.560466215,0.086813399,7.500948154,0,16.0138668,2.770170629,1.55921056
28-02-2020,0.790571243,168.9065664,7.626871188,1.570571243,1.572403523,0.084643202,7.538560288,0,16.13552876,2.814231641,1.578440719
29-02-2020,0.800141759,173.2393504,7.668057499,1.580141759,1.58443871,0.090667065,7.576400647,0,16.25822768,2.640626263,1.59782189
01-03-2020,0.776989513,166.1168416,7.569490128,1.556989513,1.555567196,0.071215999,7.509327215,0,15.96140401,2.829638254,1.55174671
02-03-2020,0.781131516,168.5447037,7.593383796,1.561131516,1.560810227,0.084213336,7.5297001,0,16.01450662,2.686289538,1.560249135
