Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,3.785089257,296.6217562,14.1,17.0828046,6.447015412,5295.776006,7889.58373,0.090910362,7.835577669,4.8,12466.65488
02-01-2020,3.723,285.285279,17.4,13.8274374,6.246079831,4708.5,7665,0.056578293,7.805770614,4.9,12146.06675
03-01-2020,3.804518646,300.4390933,14.6,18.36980081,6.512547818,5482.144612,7960.323306,0.100077714,7.847169341,23.5,12605.65742
04-01-2020,3.901988096,317.2963743,15.7,23.41962704,6.809005105,6348.477513,8302.995978,0.148506519,7.893196089,1.9,13116.39853
05-01-2020,3.723,285.1885444,14.5,14.074366,6.2415,4708.5,7665,0.052839821,7.807754535,0.1,12188.03337
06-01-2020,3.723,285.8301411,12.2,14.36767608,6.251455945,4708.5,7665,0.053414857,7.810330173,1.1,12223.92595
07-01-2020,3.913675909,320.2659031,13.8,24.60680244,6.857907989,6480.731398,8349.131557,0.153304779,7.903728926,0,13254.79884
08-01-2020,3.82685533,305.8736737,14.1,20.49107778,6.602619054,5727.699632,8047.2137,0.109503655,7.866026923,0,12850.58325
09-01-2020,3.723,284.7,14.5,14.06538731,6.2415,4708.5,7665,0.042461122,7.807223151,6.6,12215.76552
10-01-2020,3.806701957,303.2410974,13.6,19.97018668,6.553334951,5574.092778,7980.898946,0.098582559,7.861020437,1.5,12814.38892
11-01-2020,3.723,285.348808,11.1,14.84378555,6.2415,4708.5,7665,0.044251932,7.814070048,3.6,12310.28199
12-01-2020,3.723,286.177598,10.8,15.22975711,6.249110266,4708.5,7665,0.044905881,7.817454885,0.3,12357.79954
13-01-2020,3.781312339,300.2606988,12.1,19.52018601,6.495980695,5390.63471,7899.143021,0.084466203,7.85649083,0.2,12796.14739
14-01-2020,3.723,284.7,13,13.14,6.2415,4708.5,7665,0,7.8,19.6,12045
15-01-2020,3.723,284.7,14.9,13.14,6.2415,4708.5,7665,0,7.8,19.1,12045
16-01-2020,3.723,288.2405878,15.7,16.46621606,6.278491095,4735.492336,7665,0.043075507,7.828126757,1,12520.94447
17-01-2020,3.723,284.7,15.8,14.4827624,6.2415,4708.5,7665,0.019354514,7.809843277,29,12333.41358
18-01-2020,3.803906751,306.7073064,16.1,22.24830816,6.600461925,5667.428386,7992.08715,0.092990672,7.880585953,0,13121.1523
19-01-2020,3.723,285.0836027,14.1,16.07253406,6.2415,4708.5,7665,0.027081979,7.824004889,0.5,12515.12537
20-01-2020,3.723,284.7,14.2,13.84398266,6.2415,4708.5,7665,0.00051509,7.803465825,0,12304.18362
21-01-2020,3.940036137,331.633342,13.1,30.14921193,7.033977407,6918.748583,8478.032546,0.159156856,7.952179391,8.9,13946.97931
22-01-2020,3.758376864,301.3817046,13.6,21.45299659,6.497879011,5339.010819,7845.579536,0.067656329,7.872563677,4.1,13089.9863
23-01-2020,3.794144479,308.1102113,14.7,23.63890586,6.614308786,5673.15549,7974.214141,0.084850546,7.892322572,11.9,13321.55776
24-01-2020,3.723,284.7,11.9,16.06431804,6.2415,4708.5,7665,0.004314673,7.822939043,0,12577.42765
25-01-2020,3.734734423,299.3584709,12.2,21.49532617,6.455064099,5190.680598,7773.45124,0.05371106,7.872322676,11.9,13134.20135
26-01-2020,3.810431524,312.9265355,13.1,25.70933075,6.692008325,5877.747075,8042.113308,0.090815167,7.910586783,37.1,13569.61485
27-01-2020,3.723,290.8383615,12.6,19.44156292,6.299665051,4718.71245,7665,0.022980799,7.853121666,11.9,12957.18712
28-01-2020,3.84758908,320.6925447,16.4,28.45624779,6.823892608,6248.096907,8179.875808,0.107851735,7.93521712,6.1,13873.33641
29-01-2020,3.744901268,303.9848544,18.3,23.78148347,6.526381816,5366.862668,7824.45502,0.055710518,7.892289635,0,13420.86819
30-01-2020,3.783042628,311.2342459,17.3,26.15806824,6.651585617,5725.407554,7962.022119,0.07396673,7.913752962,1,13673.85782
31-01-2020,3.753497662,306.9928575,15.1,25.16008806,6.573954323,5488.7884,7862.771654,0.058362863,7.904393347,0,13589.70938
01-02-2020,4.026698688,354.2339523,14.8,39.30901689,7.404781631,7916.802683,8823.215512,0.194115323,8.033356742,4.1,15020.5656
02-02-2020,3.826972891,321.092915,14.5,29.82106901,6.817045765,6183.522551,8128.497575,0.093387954,7.946453399,21.1,14088.04321
03-02-2020,3.723,303.2749819,14.5,24.84476642,6.499663513,5243.106663,7749.023441,0.037667708,7.900747521,0,13606.98957
04-02-2020,3.927928031,339.9253024,15,35.89331002,7.143432503,7121.897517,8490.726397,0.142088359,8.001382573,15.1,14728.71985
05-02-2020,3.723,303.5657463,15.3,25.47305251,6.498739566,5221.032666,7729.060524,0.03171523,7.905950893,8,13703.86434
06-02-2020,3.870469528,331.8861358,15.2,34.08091913,6.995405993,6667.990786,8298.820146,0.111519404,7.984287498,4.2,14582.11046
07-02-2020,3.723,293.253031,14.8,23.00110989,6.31048965,4708.5,7665,0,7.882823517,21,13491.87304
08-02-2020,3.723,306.7695048,14.3,27.26385653,6.545810408,5328.835269,7754.45312,0.030495443,7.921469826,2,13936.16999
09-02-2020,3.884360079,336.9463832,14.8,36.43108154,7.075089672,6870.982072,8361.797174,0.11559266,8.0049016,5.6,14871.18824
10-02-2020,3.948886926,348.8426856,15.3,40.22593947,7.281722866,7466.547962,8592.57214,0.146869883,8.039266453,17.4,15269.2378
11-02-2020,3.89208456,340.1261277,15.4,37.96237667,7.124553011,6994.808928,8398.764595,0.117468553,8.018299142,10.1,15061.70783
12-02-2020,3.866023411,336.6484041,16.9,37.24374378,7.059787474,6793.976422,8312.619562,0.10342418,8.011436748,0,15008.92779
13-02-2020,3.851153883,335.0858013,17.6,37.09238793,7.028773497,6692.005566,8265.711958,0.094962269,8.009751021,0.5,15013.12675
14-02-2020,3.727733487,315.0818097,17.9,31.52100899,6.672279572,5635.153863,7838.941535,0.032211877,7.958563511,0,14475.56897
15-02-2020,3.816383043,331.1416797,17.4,36.5604705,6.952164092,6444.875902,8154.479638,0.075483724,8.004274891,0,14999.335
16-02-2020,3.850406161,337.926731,17.9,38.87577288,7.068333746,6774.23464,8278.887328,0.091429927,8.025104434,0,15250.919
17-02-2020,4.022305222,368.1620725,19.5,48.09185338,7.598291507,8317.242184,8885.921371,0.176301992,8.108951204,0,16192.80876
18-02-2020,3.949943192,356.8841082,18.3,45.1016762,7.395622049,7711.083654,8638.100551,0.139031721,8.081321818,0,15914.29469
19-02-2020,3.725091455,319.6936699,18.5,34.49362444,6.735635246,5763.338143,7856.623093,0.025505128,7.984119412,0,14874.20903
20-02-2020,3.959517894,360.5909912,19.4,46.85590424,7.453630432,7857.553853,8682.674958,0.141606482,8.096688432,0.3,16131.36625
21-02-2020,3.887807778,349.4552582,19.4,43.91758907,7.253359051,7258.071881,8437.302938,0.104628746,8.069522796,0,15858.66749
22-02-2020,3.861850395,346.1073375,20.7,43.27295164,7.190484571,7061.508624,8352.117884,0.090516897,8.063300893,0.1,15815.53375
23-02-2020,4.009004676,372.1979315,21.5,51.28974488,7.647079333,8388.613218,8872.87437,0.162950737,8.136175816,2.4,16638.73404
24-02-2020,4.061025246,382.1250084,20.9,54.55550474,7.818402733,8878.816846,9060.711892,0.187807917,8.16565941,6.4,16987.01554
25-02-2020,4.056260746,382.407516,18.3,54.98746633,7.819496169,8869.577939,9049.848985,0.184263098,8.169260772,0,17052.09534
26-02-2020,3.868594304,351.6052621,16.9,46.27958743,7.272004468,7251.058336,8398.874874,0.08925819,8.089390576,9.2,16203.36274
