Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Temperature,Turbidity,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,4.992161598,447.7597706,13.65525177,6516.800653,79.07790666,26.20586371,14.59859077,2.064597706,9.065833841,0,11492.18927
02-01-2020,4.904030386,443.1927326,13.55856176,6342.677931,73.11266359,25.52455318,14.5862789,2.018927326,9.02903051,0,11547.273
03-01-2020,4.996385574,447.6506171,13.64239029,6529.519967,73.34693506,26.26434794,14.68690334,2.063506171,9.063292726,0,11384.62474
04-01-2020,5.100123432,452.6782854,13.73763616,6739.118682,75.76111525,27.09371886,14.57739773,2.113782854,9.102044839,0,10560.4043
05-01-2020,4.86956321,440.9917467,13.49862114,6280.111937,73.74000171,25.29076652,14.79459467,1.996917467,9.009192683,0.1,11390.07758
06-01-2020,4.862202071,440.4659063,13.48284489,6267.493438,76.272521,25.24522869,14.21174314,1.991659063,9.00422395,0.1,12145.60813
07-01-2020,5.08517118,451.4573694,13.69744107,6715.524887,73.52569026,27.01325256,14.39080847,2.101573694,9.089946795,0.4,11139.29344
08-01-2020,4.974788131,445.782062,13.57872975,6496.840856,69.89015419,26.15639037,15.03448718,2.04482062,9.044439624,0.4,10973.0452
09-01-2020,4.810454683,437.4101183,13.40611517,6170.244242,73.3938407,24.87465229,14.37670897,1.961101183,8.977703736,0,11366.80984
10-01-2020,4.931780453,443.3220653,13.5192094,6414.953669,67.45312678,25.84212618,14.89743933,2.020220653,9.023444308,0,11317.85655
11-01-2020,4.7968642,436.4228867,13.37611362,6147.166043,72.0198481,24.79186955,14.64119124,1.951228867,8.968314996,0,11627.71155
12-01-2020,4.789461131,435.9003882,13.36058548,6134.391173,71.27650258,24.74557334,14.06091233,1.946003882,8.963401123,0,10668.64084
13-01-2020,4.87227833,439.8899691,13.43533447,6302.042626,70.40847826,25.40958901,14.65158413,1.985899691,8.994021031,0,11401.33131
14-01-2020,4.591554685,425.7036187,13.14660186,5742.597578,70.51145141,23.21099087,14.4302894,1.844036187,8.8815292,0,11322.59822
15-01-2020,4.608522784,426.4030109,13.15562261,5778.520612,63.63265081,23.35633123,14.31468572,1.851030109,8.886254006,0,11018.65413
16-01-2020,4.749278885,433.2930027,13.28849534,6062.003654,68.51476954,24.47628581,14.46303081,1.919930027,8.939729988,0,11177.2163
17-01-2020,4.685219922,429.9434849,13.21661932,5935.839995,70.76372407,23.98342547,14.49205466,1.886434849,8.912586436,0,11415.97143
18-01-2020,4.846979011,437.8861562,13.37062998,6261.295278,70.82532711,25.26855869,14.52216946,1.965861562,8.974364514,0,11331.88644
19-01-2020,4.685032724,429.6448886,13.20100619,5939.322082,66.10889434,24.00472598,14.61292672,1.883448886,8.908716984,0,10540.05172
20-01-2020,4.614335444,425.967444,13.1227046,5799.828598,74.65657585,23.45928131,14.38880086,1.84667444,8.879012271,0,11264.25889
21-01-2020,4.973247661,443.7718888,13.47408796,6519.535245,66.34588147,26.29647719,13.90749009,2.024718888,9.018463721,0,10903.6046
22-01-2020,4.751916903,432.5656415,13.24530603,6078.736523,73.15336032,24.56471607,14.10865332,1.912656415,8.929492171,0,10932.73108
23-01-2020,4.782716707,433.9674202,13.26873456,6142.17895,70.90305695,24.818117,14.94885124,1.926674202,8.939804279,0,10909.81886
24-01-2020,4.586819554,424.0358899,13.0655482,5752.206942,66.63109032,23.28638134,14.35800319,1.827358899,8.860885812,0,10801.90947
