Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,2.162421052,253.4024636,18.1,30.38060548,5.605771982,76787.36734,65.54899038,0.151784958,6.979505193,0,124364.5417
02-01-2020,2.004881906,229.6530591,19.4,15.867,5.289054047,63210,51.6,0,6.92,0,103200
03-01-2020,2.214458379,260.961279,15.9,34.91496411,5.706432914,80969.35397,69.87084481,0.199630992,6.998303771,0,130984.456
04-01-2020,2.447610411,295.7961518,16.2,57.85604177,6.170828986,103713.4844,92.69314991,0.430440434,7.087906538,0,164274.2227
05-01-2020,2.002082274,229.62,15.8,15.867,5.289,63210,51.6,0,6.92,0,103200
06-01-2020,2.010420491,229.9129239,15,15.867,5.292233723,63210,51.6,0,6.92,0,103200
07-01-2020,2.487105089,301.248896,14.8,60.52673211,6.24329674,105711.0005,94.95787052,0.461928034,7.10059552,0,168232.8723
08-01-2020,2.287010457,271.0584833,17.4,40.03929709,5.840669879,84971.95149,74.31869524,0.258840576,7.022060539,0,138558.2915
09-01-2020,1.9995,229.62,17.7,15.867,5.289,63210,51.6,0,6.92,0,103200
10-01-2020,2.249181058,265.0033491,16.2,35.22368335,5.759744577,79612.71735,69.17524153,0.214545079,7.005282988,0,131645.2206
11-01-2020,2.000476978,229.62,14.7,15.867,5.289,63210,51.6,0,6.92,0.2,103200
12-01-2020,2.011210436,229.62,16.1,15.867,5.289,63210,51.6,0,6.92,0.1,103200
13-01-2020,2.205613383,257.8272558,16.6,29.12842989,5.663743169,72602.28986,62.52807606,0.160091857,6.984835741,0,122924.2212
14-01-2020,1.9995,229.62,17.7,15.867,5.289,63210,51.6,0,6.92,0,103200
15-01-2020,1.9995,229.62,18.6,15.867,5.289,63210,51.6,0,6.92,0,103200
16-01-2020,2.036467028,231.7320699,20.2,15.867,5.315446089,63210,51.6,0,6.92,0,103200
17-01-2020,1.9995,229.62,21.1,15.867,5.289,63210,51.6,0,6.92,0,103200
18-01-2020,2.290553918,269.3181745,21.9,34.23155518,5.816330938,75920.36213,66.55469333,0.223800061,7.010813553,0,130552.1926
19-01-2020,1.9995,229.62,19.7,15.867,5.289,63210,51.6,0,6.92,0,103200
20-01-2020,1.9995,229.62,16.9,15.867,5.289,63210,51.6,0,6.92,0,103200
21-01-2020,2.633005299,319.8298891,16.9,66.15490583,6.489392881,106621.477,97.74095292,0.551713547,7.13879145,0,176997.465
22-01-2020,2.212657363,256.4752103,18.7,23.29964509,5.644512732,63334.30578,54.62522087,0.126228247,6.974185515,0,114912.6101
23-01-2020,2.304816746,269.9881977,18.6,31.67224663,5.824530586,71262.95788,62.73009079,0.213107067,7.008178989,0,127109.6961
24-01-2020,1.9995,229.62,17.1,15.867,5.289,63210,51.6,0,6.92,1.5,103200
25-01-2020,2.181238955,250.8047658,16.3,17.56019208,5.568428425,63210,51.6,0.078544863,6.956687732,0.4,106765.3989
26-01-2020,2.368105975,278.499167,17.5,35.3364749,5.937519441,73524.43715,65.54836629,0.259711284,7.027252202,0,132602.342
27-01-2020,2.060756618,232.0530635,17.4,15.867,5.318066375,63210,51.6,0,6.92,0,103200
28-01-2020,2.473289429,293.5813387,18.9,43.96876835,6.138267724,81163.87483,73.58190038,0.353085205,7.064158206,0,145246.2268
29-01-2020,2.240456777,258.2969523,20.1,19.71042925,5.667629669,63210,51.6,0.114147118,6.971915968,0,110137.3239
30-01-2020,2.339636982,272.8067589,19.1,28.63239366,5.860910321,64789.85748,57.6197568,0.207090509,7.00831791,0,123141.2744
31-01-2020,2.279530496,263.4159348,17.8,21.60500185,5.735512087,63210,51.6,0.140617674,6.982938455,0,113020.0522
01-02-2020,3.04682048,364.1883431,17.9,100.743177,6.904987378,130970.1851,129.0983097,0.920229701,7.24085273,0,240165.44
02-02-2020,2.591285284,294.8359018,17.3,54.28880706,5.972200727,83739.27178,82.30920989,0.458928464,7.06042842,0,173437.0116
03-02-2020,2.348196005,257.3312383,16.8,29.06218705,5.463899914,63210,56.74160197,0.209965346,6.962275318,0,137500.6064
04-02-2020,2.860095071,333.0560251,18.3,79.31783131,6.465176344,107171.8896,106.6501014,0.715884512,7.156682352,0,211025.0801
05-02-2020,2.360161142,256.9873752,20.2,28.37388288,5.442394015,63210,55.35295404,0.209866395,6.958836235,0,137821.5462
06-02-2020,2.756745115,315.3782428,20,67.0657131,6.212261508,93267.18949,93.6856359,0.600263695,7.108409066,0,194601.096
07-02-2020,2.225433887,234.566988,18.2,15.867,5.289,63210,51.6,0.062665145,6.92,0,116824.0449
08-02-2020,2.416969874,262.1653024,17.1,31.10817066,5.48497991,63210,56.99237596,0.24781502,6.968228555,0,143848.2608
09-02-2020,2.83947931,324.3924577,19.4,72.34624982,6.305582266,95967.82639,97.85410394,0.66384145,7.127651624,0,204352.2703
10-02-2020,3.008686262,348.6074039,18.1,88.23924222,6.619221955,110974.927,113.3652317,0.826470421,7.18883185,0,228116.2876
11-02-2020,2.892264477,329.9615485,18.8,75.55482718,6.361253813,97392.09199,100.2935517,0.703377629,7.139240984,0,210453.2348
12-02-2020,2.848511724,322.1999077,18.9,70.12309056,6.248280827,91049.67336,94.46926462,0.652862821,7.117755455,0,203316.5201
13-02-2020,2.831360716,318.4127432,19.8,67.33761656,6.188175965,87341.52518,91.2860709,0.628860713,7.106521065,0,200026.6216
14-02-2020,2.558673156,276.2796706,22.2,38.98489272,5.616670283,63210,62.53057596,0.349235038,6.996183244,0,159673.7244
15-02-2020,2.785879045,309.1155544,22.1,60.60824023,6.04463152,78731.92114,83.74622034,0.569417853,7.079545695,0,191795.4192
16-02-2020,2.884592404,322.6628668,21.9,69.3693865,6.215295562,86536.07102,92.09485226,0.66102526,7.113049355,0,205275.9833
17-02-2020,3.308374999,384.9562458,22.5,110.624837,7.035793868,126823.6471,132.9330994,1.07762113,7.272494767,0,265882.1194
18-02-2020,3.156843601,360.9385847,22.6,94.33660157,6.705368003,109556.9461,116.2230953,0.918824366,7.208897609,0,243058.5091
19-02-2020,2.646221054,283.0436916,22.4,42.12730088,5.656471758,63210,63.58758554,0.400859961,7.006066625,0,168157.7169
20-02-2020,3.217927374,367.4849549,23.1,98.13927674,6.771953369,111372.0791,119.1690382,0.965150111,7.222693204,0,250185.9005
21-02-2020,3.068513899,343.7454646,23.5,82.02800586,6.444923778,94252.32074,102.6230577,0.808248348,7.159767704,0,227643.2609
22-02-2020,3.027083845,336.1910965,24.1,76.70415687,6.33359778,87910.57075,96.86044134,0.75926011,7.138649448,0,220750.025
23-02-2020,3.393709942,389.833157,23.9,112.1753523,7.038129265,122354.7533,131.8889417,1.118260364,7.275647194,0,273017.0008
24-02-2020,3.536356092,409.8666322,22.1,125.2383358,7.294454554,134381.9164,144.5054336,1.253215273,7.325787225,0,292799.2192
25-02-2020,3.545372048,409.8443892,19.2,124.9284385,7.283281733,133027.6981,143.7453807,1.254476869,7.32409035,0,293197.6615
26-02-2020,3.123599732,345.193123,21.6,81.53021151,6.410303297,88576.95896,99.89346716,0.82488937,7.155380556,0,231124.6752
27-02-2020,3.29561927,369.6002637,21.7,97.50202948,6.724688226,103488.3855,115.4082022,0.989035221,7.216783476,0,255144.6507
