Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,0.458779904,108.5909682,18.9523413,2.294324841,8.175998239,1.755824275,1.776866543,0.139929779,7.571431483,0,1.797908812
02-01-2020,0.426449872,104.0152305,18.74499979,2.179157056,8.107092473,1.743741402,1.759096044,0.126502433,7.551150302,0,1.774450684
03-01-2020,0.453820214,107.7977312,18.96400089,2.302737616,8.157603398,1.755535491,1.777139655,0.136957099,7.559316219,0,1.79874382
04-01-2020,0.484967802,112.109247,19.20988678,2.441369837,8.215686013,1.768837038,1.797443023,0.148924668,7.569300616,0,1.826049008
05-01-2020,0.405573953,100.9451769,18.66608849,2.137774824,8.052704202,1.737918322,1.751414458,0.116677815,7.526667461,0,1.764910594
06-01-2020,0.400008741,100.1173455,18.64952824,2.129428731,8.037399352,1.736527122,1.749675528,0.113964714,7.519213457,0,1.762823933
07-01-2020,0.470631431,109.9560647,19.17705103,2.425764492,8.174491231,1.765606898,1.793641317,0.141729216,7.548063488,0,1.821675736
08-01-2020,0.431028293,104.3634263,18.91712338,2.281123086,8.091153612,1.750591912,1.771463116,0.12540597,7.524450526,17,1.79233432
09-01-2020,0.373600826,96.27565466,18.5297492,2.065106428,7.972190714,1.728442518,1.738581355,0.101955721,7.492376695,39.9,1.748720192
10-01-2020,0.410661785,101.4165497,18.8171557,2.226961482,8.042229266,1.744083575,1.76238322,0.116303712,7.50532566,0,1.780682866
11-01-2020,0.363000643,94.69665173,18.49926096,2.049842107,7.942849427,1.725830629,1.735341933,0.096765874,7.477960467,0,1.744853236
12-01-2020,0.357529474,93.88366495,18.48257311,2.041392587,7.927876541,1.724448271,1.733604274,0.094107176,7.470716821,0,1.742760277
13-01-2020,0.381916083,97.2510961,18.6789984,2.152280162,7.972647415,1.735003383,1.749770471,0.103394878,7.477723621,0.703668306,1.764537557
14-01-2020,0.286098627,83.79030134,18.01665997,1.782253516,7.777039554,1.697470991,1.693802962,0.064604386,7.427524214,21.1,1.690134933
15-01-2020,0.288753336,84.11596612,18.05752431,1.806013633,7.778406588,1.699321352,1.696907035,0.065206325,7.42425149,31.93039299,1.694492718
16-01-2020,0.332369612,90.17662046,18.39079496,1.993514228,7.861728491,1.717549992,1.724575882,0.082196592,7.440520796,31.66372403,1.731601772
17-01-2020,0.308276444,86.75833648,18.24024397,1.910067398,7.809664401,1.708688275,1.711606453,0.07210692,7.424585366,21.1,1.714524631
18-01-2020,0.358888794,93.7992221,18.62311469,2.12532916,7.907045391,1.729701957,1.743447285,0.091903428,7.444263168,6.1,1.757192612
19-01-2020,0.302475359,85.85690854,18.24132007,1.912370511,7.790409997,1.707898288,1.711059159,0.068893726,7.4130168,3,1.71422003
20-01-2020,0.276265996,82.1435884,18.07506708,1.820107104,7.734219053,1.698168986,1.696779556,0.057969888,7.39619511,0,1.695390127
21-01-2020,0.392160285,98.32521644,18.92363224,2.296133548,7.962272847,1.745273658,1.767747798,0.10389188,7.447084899,0,1.790221937
22-01-2020,0.316192099,87.64654752,18.40153706,2.004581637,7.806640226,1.715625634,1.723583782,0.073073377,7.406655952,0,1.73154193
23-01-2020,0.323635397,88.64594869,18.47501802,2.046543558,7.817870204,1.719334277,1.729451464,0.07562409,7.405992367,0,1.739568652
24-01-2020,0.256138584,79.15420933,18.01298628,1.788609316,7.679260674,1.693058732,1.690339473,0.048203509,7.369689868,0,1.687620214
25-01-2020,0.288348444,83.62189163,18.26291291,1.929362479,7.740106276,1.7066575,1.711035467,0.060670473,7.380914825,0.481327363,1.715413435
26-01-2020,0.311162904,86.7747179,18.44549152,2.032391228,7.782203924,1.716489539,1.726077798,0.069384276,7.387715088,2.216921656,1.735666057
27-01-2020,0.253512585,78.66298709,18.05307786,1.813414551,7.663415905,1.694126886,1.692824435,0.045917286,7.3562493,3.557622496,1.691521983
28-01-2020,0.313043691,86.95718002,18.49742481,2.063013829,7.779035663,1.71862782,1.729862707,0.069328109,7.38063589,4.1,1.741097594
29-01-2020,0.26750887,80.54267903,18.19104558,1.892196241,7.684569509,1.701093194,1.703843809,0.050717921,7.35504396,3.543616102,1.706594425
30-01-2020,0.276018479,81.69494618,18.27043716,1.937399874,7.69823917,1.705166949,1.710233572,0.053730983,7.355241504,2,1.715300196
31-01-2020,0.258595787,79.21725039,18.16433166,1.878714485,7.660092171,1.698858195,1.701045576,0.046376718,7.343145507,0,1.703232957
01-02-2020,0.357326226,93.00156382,18.88761959,2.284478547,7.854300357,1.739000909,1.761530705,0.085489412,7.386416825,0,1.7840605
02-02-2020,0.274693251,81.39558131,18.31517742,1.964622668,7.685831603,1.706588281,1.713178662,0.052062562,7.343382021,0,1.719769044
03-02-2020,0.226633649,74.63046402,17.98940549,1.782890826,7.586560429,1.687994834,1.685551156,0.032470991,7.316869229,0.276674309,1.683107478
04-02-2020,0.301470794,85.07149526,18.54117986,2.092573405,7.733134517,1.718549731,1.731641853,0.062044159,7.348938274,2.316583511,1.744733974
05-02-2020,0.211585124,72.4519472,17.91606999,1.743189102,7.550315665,1.683204966,1.678878664,0.025734348,7.302628516,5.068955387,1.674552362
06-02-2020,0.267640933,80.26483139,18.33310152,1.977392077,7.659433362,1.706226073,1.71365982,0.047807381,7.325876373,8.37696221,1.721093565
07-02-2020,0.172643259,66.93086357,17.67087695,1.607199526,7.466498572,1.668814893,1.657788002,0.009465376,7.277256693,12.08377625,1.64676111
08-02-2020,0.195320132,70.07197799,17.84887736,1.707520663,7.508968223,1.678462461,1.672499695,0.018199648,7.284736207,16.0325698,1.666536929
09-02-2020,0.255601598,78.4783912,18.29516976,1.958072826,7.626703266,1.703140625,1.709752598,0.041982314,7.310187349,20.06651511,1.716364573
10-02-2020,0.274654558,81.1134791,18.44665593,2.043520828,7.662038338,1.711315979,1.722246533,0.049280233,7.316071513,24.02878446,1.733177088
11-02-2020,0.247219116,77.24086574,18.26576063,1.942822344,7.60445447,1.700884399,1.706825246,0.037989541,7.299884931,27.76255013,1.712766093
12-02-2020,0.23162533,75.02676857,18.16912265,1.889294925,7.570612578,1.695177748,1.698486463,0.031442356,7.289404746,31.1109844,1.701795177
13-02-2020,0.220376383,73.42164255,18.10318895,1.852948686,7.545519819,1.691197142,1.692731793,0.026640043,7.28106195,33.91725954,1.694266442
